millis,stamp,datetime,degree,distance
353015,1694973727,2023/9/17 18:02,56,24
354016,1694973728,2023/9/17 18:02,108,17
355014,1694973729,2023/9/17 18:02,161,17
356019,1694973730,2023/9/17 18:02,154,17
357017,1694973731,2023/9/17 18:02,101,18
358004,1694973732,2023/9/17 18:02,50,39
359009,1694973733,2023/9/17 18:02,1,21
360019,1694973734,2023/9/17 18:02,52,25
361015,1694973735,2023/9/17 18:02,104,18
362012,1694973736,2023/9/17 18:02,157,17
363004,1694973737,2023/9/17 18:02,157,17
363038,1694973737,2023/9/17 18:02,156,17
364017,1694973738,2023/9/17 18:02,104,18
365003,1694973739,2023/9/17 18:02,53,70
365040,1694973739,2023/9/17 18:02,52,70
366014,1694973740,2023/9/17 18:02,3,21
367006,1694973741,2023/9/17 18:02,47,40
367040,1694973741,2023/9/17 18:02,48,27
368017,1694973742,2023/9/17 18:02,99,18
369013,1694973743,2023/9/17 18:02,152,17
370018,1694973744,2023/9/17 18:02,165,18
371015,1694973745,2023/9/17 18:02,112,17
372012,1694973746,2023/9/17 18:02,60,26
373008,1694973747,2023/9/17 18:02,13,0
374004,1694973748,2023/9/17 18:02,38,48
375009,1694973749,2023/9/17 18:02,86,0
376009,1694973750,2023/9/17 18:02,139,0
377006,1694973751,2023/9/17 18:02,178,1190
378002,1694973752,2023/9/17 18:02,126,16
378035,1694973752,2023/9/17 18:02,125,16
379009,1694973753,2023/9/17 18:02,74,12
380004,1694973754,2023/9/17 18:02,24,21
380038,1694973754,2023/9/17 18:02,23,21
381018,1694973755,2023/9/17 18:02,28,42
382016,1694973756,2023/9/17 18:02,79,24
383002,1694973757,2023/9/17 18:02,131,16
383038,1694973757,2023/9/17 18:02,132,16
385014,1694973759,2023/9/17 18:02,133,16
386019,1694973760,2023/9/17 18:02,80,24
387007,1694973761,2023/9/17 18:02,30,32
388018,1694973762,2023/9/17 18:02,23,32
389008,1694973763,2023/9/17 18:02,69,24
390018,1694973764,2023/9/17 18:02,122,16
391018,1694973765,2023/9/17 18:02,175,20
392010,1694973766,2023/9/17 18:02,144,17
393009,1694973767,2023/9/17 18:02,91,25
394011,1694973768,2023/9/17 18:02,40,39
395009,1694973769,2023/9/17 18:02,12,20
396016,1694973770,2023/9/17 18:02,63,24
397008,1694973771,2023/9/17 18:02,115,17
398007,1694973772,2023/9/17 18:02,168,18
398040,1694973772,2023/9/17 18:02,169,18
399003,1694973773,2023/9/17 18:02,149,17
399037,1694973773,2023/9/17 18:02,148,17
400017,1694973774,2023/9/17 18:02,96,21
401012,1694973775,2023/9/17 18:02,45,40
402001,1694973776,2023/9/17 18:02,6,21
402035,1694973776,2023/9/17 18:02,7,20
403005,1694973777,2023/9/17 18:02,56,25
403039,1694973777,2023/9/17 18:02,57,25
404002,1694973778,2023/9/17 18:02,107,17
404035,1694973778,2023/9/17 18:02,108,0
405014,1694973779,2023/9/17 18:02,160,17
406008,1694973780,2023/9/17 18:03,154,17
407006,1694973781,2023/9/17 18:03,101,18
407040,1694973781,2023/9/17 18:03,100,19
408013,1694973782,2023/9/17 18:03,50,40
409018,1694973783,2023/9/17 18:03,1,21
410013,1694973784,2023/9/17 18:03,47,27
411013,1694973785,2023/9/17 18:03,99,18
412010,1694973786,2023/9/17 18:03,152,17
413008,1694973787,2023/9/17 18:03,168,19
414010,1694973788,2023/9/17 18:03,115,16
415002,1694973789,2023/9/17 18:03,63,25
415035,1694973789,2023/9/17 18:03,62,0
416017,1694973790,2023/9/17 18:03,13,0
417015,1694973791,2023/9/17 18:03,38,40
418018,1694973792,2023/9/17 18:03,82,0
419004,1694973793,2023/9/17 18:03,134,16
419037,1694973793,2023/9/17 18:03,135,0
421016,1694973795,2023/9/17 18:03,131,15
422004,1694973796,2023/9/17 18:03,79,24
422038,1694973796,2023/9/17 18:03,78,24
423016,1694973797,2023/9/17 18:03,30,40
424012,1694973798,2023/9/17 18:03,22,42
425011,1694973799,2023/9/17 18:03,72,23
426017,1694973800,2023/9/17 18:03,125,16
427017,1694973801,2023/9/17 18:03,178,21
428010,1694973802,2023/9/17 18:03,139,16
429010,1694973803,2023/9/17 18:03,86,24
430017,1694973804,2023/9/17 18:03,35,39
431014,1694973805,2023/9/17 18:03,17,21
432017,1694973806,2023/9/17 18:03,67,23
433008,1694973807,2023/9/17 18:03,119,16
434007,1694973808,2023/9/17 18:03,172,20
434039,1694973808,2023/9/17 18:03,173,3
435019,1694973809,2023/9/17 18:03,144,17
436018,1694973810,2023/9/17 18:03,91,24
437018,1694973811,2023/9/17 18:03,40,40
438017,1694973812,2023/9/17 18:03,12,20
439005,1694973813,2023/9/17 18:03,62,24
439038,1694973813,2023/9/17 18:03,63,24
440010,1694973814,2023/9/17 18:03,114,17
441008,1694973815,2023/9/17 18:03,167,18
441040,1694973815,2023/9/17 18:03,168,6
442014,1694973816,2023/9/17 18:03,154,17
443012,1694973817,2023/9/17 18:03,101,18
